id,nama,kalori,lemak,karbohidrat,protein
1,anggur,3,0.01,0.9,0.04
2,apel,58,0.4,14.9,0.3
3,ayam_betutu,425,34.8,6.32,22.6
4,ayam_goreng,260,14.55,10.76,21.93
5,ayam_pop,265,8.45,0,13.67
6,bakso,57,3.69,2.12,3.47
7,batagor,290,14.92,29.14,10.28
8,burger,258,7.8,32.1,12.8
9,cherry,87,0.3,22,1.4
10,cireng,70,4.53,6.35,0.94
11,coto_makassar,289,15.25,12.92,25.4
12,dendeng,82,5.12,2.2,6.64
13,gudeg,127,4.71,22.54,1.82
14,gulai_ikan,100,4.59,1.9,12.4
15,jeruk,62,0.16,15.39,1.23
16,kerak_telor,452,15.81,55.58,20.11
17,kiwi,46,0.4,11.14,0.87
18,mangga,65,0.27,17,0.51
19,mie_aceh,116,3.58,17.96,3.34
20,nasi_goreng,166,6.32,21.06,6.3
21,nasi_kuning,150,0.27,32.96,2.99
22,nasi_padang,664,15,70,70
23,nasi_pecel,230,9.33,31.74,6.58
24,pempek,39,1.04,4.72,2.52
25,pisang,89,0.33,22.84,1.09
26,rawon,119,7.4,3.48,9.6
27,rendang,195,11.07,4.49,19.68
28,sate,32,2.11,0.72,2.84
29,sawo,83,1.1,19.96,0.44
30,serabi,108,1.8,21.05,1.59
31,soto,312,14.29,19.55,24.01
32,strawberi,32,0.3,7.68,0.67
33,tahu_sumedang,35,2.42,1.3,2.12
34,telur_balado,71,5.75,1.22,3.57
35,telur_dadar,93,7.33,0.42,6.48
