"id","calories","proteins","fat","carbohydrate","name","image"
"1","280","9.2","28.4","0","Abon","https://img-cdn.medkomtek.com/PbrY9X3ignQ8sVuj_LU9UXljyew=/0x0/smart/filters:quality(75):strip_icc():format(webp)/article/7g8ceHGDNMuttlBcXEl8d/original/099726800_1605161502-Mana-yang-Lebih-Sehat-Abon-Sapi-atau-Abon-Ayam-shutterstock_1361446550.jpg"
"2","513","23.7","37","21.3","Abon haruwan","https://img-global.cpcdn.com/recipes/cbf330fbd1ba6316/1200x630cq70/photo.jpg"
"3","0","0","0.2","0","Agar-agar","https://res.cloudinary.com/dk0z4ums3/image/upload/v1644389489/attached_image/manfaat-agar-agar-untuk-tubuh.jpg"
"4","45","1.1","0.4","10.8","Akar tonjong segar","https://images.tokopedia.net/img/cache/200-square/product-1/2018/8/11/3052608/3052608_12e6762a-1a95-450b-8a7c-347a26dc3201_450_450.jpg"
"5","37","4.4","0.5","3.8","Aletoge segar","https://nilaigizi.com/assets/images/produk/produk_1577340236.jpg"
"6","85","0.9","6.5","7.7","Alpukat segar","https://katakabar.com/assets/images/upload/news/medium_news_1594438184.jpeg"
"7","96","3.7","0.6","19.1","Ampas kacang hijau","https://images.tokopedia.net/img/cache/215-square/shops-1/2016/10/16/5997149/5997149_fb399db6-c767-4ef0-ba2b-d25bc046859e.jpg"
"8","414","26.6","18.3","41.3","Ampas Tahu","https://palpres.disway.id/upload/9e9c1ba592cac7270de5e48889a33523.jpeg"
"9","75","4.1","2.1","10.7","Ampas tahu kukus","https://cdns.diadona.id/diadona.id/resized/640x320/news/2020/02/26/5346/manfaat-ampas-tahu-yang-nggak-boleh-disepelekan-orang-jepang-aja-doyan-masa-kamu-ogah-ogahan-200226f.jpg"
"10","67","5","2.1","8.1","Ampas tahu mentah","https://cdn-image.hipwee.com/wp-content/uploads/2021/03/hipwee-FotoJet-9-750x422.jpg"
"12","99","4.6","1","18","Andaliman segar","https://cf.shopee.co.id/file/3c033b2480e951e2634909817e417218"
"13","25","1.6","0.2","5.3","Andewi","https://www.satuharapan.com/uploads/cache/news_77440_1518185146.jpg"
"14","30","0.5","0.2","6.8","Anggur hutan segar","https://cf.shopee.co.id/file/ed7f26c6de5f13ec39e9931263ade6b9"
"15","354","16.4","31.5","0","Angsa","https://cdn.idntimes.com/content-images/community/2020/06/images-11-7778c46373d99fb101fe76ba287b7cca.jpeg"
"16","58","0.3","0.4","14.9","Apel","https://asset.kompas.com/crops/smfd25xgXRE3HpMLb2aamPeulYM=/21x0:1476x970/1200x800/data/photo/2022/08/30/630d7ae5d041f.jpg"
"17","37","0.8","0.5","8.3","Arbei","https://asset.kompas.com/crops/NoCuCvNGfQG6_Ct04e7Vjcabjv4=/204x0:885x454/1200x800/data/photo/2020/06/25/5ef44bb002503.jpg"
"18","113","0.9","7.2","11.2","Ares sayur","https://asset-a.grid.id/crop/0x0:0x0/x/photo/2018/07/10/1764115767.jpg"
"19","75","0.2","1.1","16.1","Asam kandis","https://assets.ladiestory.id/gallery/16768092331084058551-asam-kandis.jpg"
"20","98","3.9","2.6","14.8","Asinan","https://www.piknikdong.com/wp-content/uploads/2021/04/Resep-Asinan-Sayur-Bogor-Sederhana.jpg"
"21","302","18.2","25","0","Ayam","https://images.ctfassets.net/1cj2ge3ast5f/4ETq9ybsnjCsGaailYLOGH/cf7db5b91c85f4ea1e309905a9679809/Ayam_Utuh.jpeg"
"22","297","35.9","15.2","1.6","Ayam goreng Kentucky sayap","https://img-global.cpcdn.com/recipes/2ecb088a495ef73a/680x482cq70/ayam-goreng-kentucky-foto-resep-utama.jpg"
"23","270","32.3","11.2","9.9","ampela goreng","https://cdn1-production-images-kly.akamaized.net/MldE3BInsLHr9JgPKFlsYtmbV-E=/0x344:5472x3428/469x260/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3142898/original/027275800_1591175314-shutterstock_188934800.jpg"
"24","275","37.4","12.2","1.3","Ayam goreng kalasan paha","https://thumb.viva.id/intipseleb/1265x711/2022/10/21/6352aa183c0c1-resep-ayam-goreng-kalasan.jpg"
"25","298","34.2","16.8","0.1","Ayam goreng kentucky dada","https://awsimages.detik.net.id/community/media/visual/2021/07/07/kirim-pesan-unik-kfc-2_43.jpeg?w=1200"
"26","286","32.1","16.1","1.1","Ayam goreng Kentucky paha","https://img-global.cpcdn.com/recipes/d61db7c7021bcd27/680x482cq70/paha-kentucky-yummy-foto-resep-utama.jpg"
"27","287","31","15.7","1.7","Ayam goreng paha","https://cdn1-production-images-kly.akamaized.net/EwEm3hoNsTm-YZSonSqX2IlcAaY=/1200x1200/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/2938630/original/066858200_1571039590-shutterstock_153914045.jpg"
"28","261","27.4","16.1","1.6","hati ayam","https://asset.kompas.com/crops/9dZTmg32w0stodtsJ52gf85QjD4=/0x0:902x601/750x500/data/photo/2021/01/26/600f9d1967e9b.jpg"
"29","473","45.2","26.3","13.9","Ayam usus goreng","https://img-global.cpcdn.com/recipes/fa7c9443ce9efcb5/1200x630cq70/photo.jpg"
"30","113","17.6","4.2","0","Babat","https://awsimages.detik.net.id/community/media/visual/2022/05/26/resep-bacem-babat-sapi.jpeg?w=1200"
"34","102.9","3.3","2.7","16.3","Bacang","https://cdn1-production-images-kly.akamaized.net/dmeIqjoEQPYVHvwOwc32D8B7EcI=/1200x675/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/1495067/original/082497700_1486023784-bacang-fsui_wodpress.jpg"
"35","450","3.2","13.9","78.1","Bagea kelapa asin","https://resepkoki.id/wp-content/uploads/2018/02/Resep-Kue-Bagea.jpg"
